16:48:17.396 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 5128 (D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList)
16:54:31.667 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 8ms) с результатом - [Task(id=1, description=Сдать ДЗ, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783)] 
16:54:33.008 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.updateTaskStatus вызван с аргументами: [5, IN_PROGRESS]
16:54:33.013 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод updateTaskStatus выполнился (Время выполнения: 5ms) с результатом - Task(id=5, description=Task 5, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619) 
16:54:33.034 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
16:54:33.039 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 5ms) с результатом - [Task(id=1, description=Сдать ДЗ, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=5, description=Task 5, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783)] 
16:54:35.359 [http-nio-8080-exec-2] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.deleteTask вызван с аргументами: [3]
16:54:35.420 [http-nio-8080-exec-2] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод deleteTask выполнился (Время выполнения: 61ms) с результатом - null 
16:54:35.430 [http-nio-8080-exec-3] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
16:54:35.435 [http-nio-8080-exec-3] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 4ms) с результатом - [Task(id=1, description=Сдать ДЗ, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=5, description=Task 5, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783)] 
16:54:38.558 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getTasksByStatus вызван с аргументами: [NOT_STARTED]
16:54:38.565 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getTasksByStatus выполнился (Время выполнения: 6ms) с результатом - [Task(id=1, description=Сдать ДЗ, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783)] 
22:47:42.238 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 14136 (D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList)
22:47:42.336 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
22:47:52.013 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 11.046 seconds (process running for 12.818)
23:00:00.273 [http-nio-8080-exec-8] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
23:00:00.596 [http-nio-8080-exec-8] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 319ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-18T22:47:46.823858), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-18T22:47:46.823858), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-18T22:47:46.823858), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-18T22:47:46.823858), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-18T22:47:46.823858)] 
23:00:07.696 [http-nio-8080-exec-2] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.updateTaskStatus вызван с аргументами: [4, COMPLETED]
23:00:07.776 [http-nio-8080-exec-2] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод updateTaskStatus выполнился (Время выполнения: 80ms) с результатом - Task(id=4, description=Task 4, status=COMPLETED, createdAt=2024-02-18T22:47:46.823858) 
23:00:07.806 [http-nio-8080-exec-4] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
23:00:07.811 [http-nio-8080-exec-4] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 4ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-18T22:47:46.823858), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-18T22:47:46.823858), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-18T22:47:46.823858), Task(id=4, description=Task 4, status=COMPLETED, createdAt=2024-02-18T22:47:46.823858), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-18T22:47:46.823858)] 
23:00:09.591 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getTasksByStatus вызван с аргументами: [COMPLETED]
23:00:09.634 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getTasksByStatus выполнился (Время выполнения: 43ms) с результатом - [Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-18T22:47:46.823858), Task(id=4, description=Task 4, status=COMPLETED, createdAt=2024-02-18T22:47:46.823858)] 
19:36:53.421 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 8624 (D:\GB_JAVA\Spring\Projects\Seminar12\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar12\TodoList)
19:36:53.427 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
19:37:04.421 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 12.258 seconds (process running for 13.902)
19:37:16.949 [http-nio-8080-exec-4] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getTasksByStatus вызван с аргументами: [COMPLETED]
19:37:17.363 [http-nio-8080-exec-4] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getTasksByStatus выполнился (Время выполнения: 310ms) с результатом - [Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T19:36:57.804612)] 
19:37:20.614 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
19:37:20.658 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 43ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T19:36:57.804612), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T19:36:57.804612), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T19:36:57.804612), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T19:36:57.804612), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T19:36:57.804612)] 
19:37:32.857 [http-nio-8080-exec-2] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=Task 190224, status=null, createdAt=null)]
19:37:32.936 [http-nio-8080-exec-2] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 79ms) с результатом - Task(id=6, description=Task 190224, status=NOT_STARTED, createdAt=2024-02-19T19:37:32.857479) 
19:37:33.005 [http-nio-8080-exec-3] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
19:37:33.010 [http-nio-8080-exec-3] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 5ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T19:36:57.804612), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T19:36:57.804612), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T19:36:57.804612), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T19:36:57.804612), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T19:36:57.804612), Task(id=6, description=Task 190224, status=NOT_STARTED, createdAt=2024-02-19T19:37:32.857479)] 
19:42:11.707 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 11040 (D:\GB_JAVA\Spring\Projects\Seminar12\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar12\TodoList)
19:42:11.712 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
19:42:22.644 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 12.26 seconds (process running for 13.94)
19:42:36.180 [http-nio-8080-exec-4] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
19:42:36.491 [http-nio-8080-exec-4] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 307ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T19:42:16.621536), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T19:42:16.621536), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T19:42:16.621536), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T19:42:16.621536), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T19:42:16.621536)] 
19:42:48.611 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=Task2 190224, status=null, createdAt=null)]
19:42:48.697 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 85ms) с результатом - Task(id=6, description=Task2 190224, status=NOT_STARTED, createdAt=2024-02-19T19:42:48.612401900) 
19:47:24.598 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 14212 (D:\GB_JAVA\Spring\Projects\Seminar12\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar12\TodoList)
19:47:24.603 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
19:47:35.532 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 12.185 seconds (process running for 13.877)
19:49:04.217 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
19:49:04.545 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 325ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T19:47:29.415095), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T19:47:29.415095), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T19:47:29.415095), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T19:47:29.415095), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T19:47:29.415095)] 
19:49:16.113 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=Task2 190224, status=null, createdAt=null)]
19:49:16.170 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 57ms) с результатом - Task(id=6, description=Task2 190224, status=NOT_STARTED, createdAt=2024-02-19T19:49:16.113361600) 
19:53:02.309 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 8876 (D:\GB_JAVA\Spring\Projects\Seminar12\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar12\TodoList)
19:53:02.314 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
19:53:12.689 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 11.493 seconds (process running for 13.091)
19:53:20.902 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
19:53:21.170 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 264ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T19:53:06.915553), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T19:53:06.915553), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T19:53:06.915553), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T19:53:06.915553), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T19:53:06.915553)] 
19:53:30.188 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=task2 190224, status=null, createdAt=null)]
19:53:30.241 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 53ms) с результатом - Task(id=6, description=task2 190224, status=NOT_STARTED, createdAt=2024-02-19T19:53:30.188165100) 
20:07:52.495 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 1432 (D:\GB_JAVA\Spring\Projects\Seminar12\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar12\TodoList)
20:07:52.504 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
20:08:03.404 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 12.125 seconds (process running for 13.691)
20:08:22.628 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
20:08:22.926 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 295ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T20:07:57.085557), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T20:07:57.085557), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T20:07:57.085557), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T20:07:57.085557), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T20:07:57.085557)] 
20:08:31.471 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=Task2 190224, status=null, createdAt=null)]
20:08:31.536 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 65ms) с результатом - Task(id=6, description=Task2 190224, status=NOT_STARTED, createdAt=2024-02-19T20:08:31.472643700) 
20:12:55.090 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 2840 (D:\GB_JAVA\Spring\Projects\Seminar12\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar12\TodoList)
20:12:55.095 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
20:13:05.847 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 11.901 seconds (process running for 13.412)
20:13:15.466 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
20:13:15.759 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 263ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T20:12:59.447340), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T20:12:59.447340), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T20:12:59.447340), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T20:12:59.447340), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T20:12:59.447340)] 
20:13:24.035 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=Task2 190224, status=null, createdAt=null)]
20:13:24.086 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 51ms) с результатом - Task(id=6, description=Task2 190224, status=NOT_STARTED, createdAt=2024-02-19T20:13:24.035210) 
20:20:20.379 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 9348 (D:\GB_JAVA\Spring\Projects\Seminar12\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar12\TodoList)
20:20:20.383 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
20:20:30.715 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 11.438 seconds (process running for 13.048)
20:20:42.344 [http-nio-8080-exec-7] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
20:20:42.620 [http-nio-8080-exec-7] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 274ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-19T20:20:24.988518), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-19T20:20:24.988518), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-19T20:20:24.988518), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-19T20:20:24.988518), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-19T20:20:24.988518)] 
20:20:56.804 [http-nio-8080-exec-3] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=task2 190224, status=null, createdAt=null)]
20:20:56.858 [http-nio-8080-exec-3] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 54ms) с результатом - Task(id=6, description=task2 190224, status=NOT_STARTED, createdAt=2024-02-19T20:20:56.804441100) 
